,Date,Price,calendar_quarter
0,2008-09-30,13.345488548278809,Q3 2008
1,2008-10-31,11.496273040771484,Q4 2008
2,2008-11-30,10.62253189086914,Q4 2008
3,2008-12-31,10.22282886505127,Q4 2008
4,2009-01-31,9.070258140563965,Q1 2009
5,2009-02-28,8.32458782196045,Q1 2009
6,2009-03-31,9.45454216003418,Q1 2009
7,2009-04-30,10.5796480178833,Q2 2009
8,2009-05-31,11.503127098083496,Q2 2009
9,2009-06-30,10.485587120056152,Q2 2009
10,2009-07-31,11.469745635986328,Q3 2009
11,2009-08-31,11.216618537902832,Q3 2009
12,2009-09-30,13.163650512695312,Q3 2009
13,2009-10-31,12.650940895080566,Q4 2009
14,2009-11-30,13.202310562133789,Q4 2009
15,2009-12-31,13.498157501220703,Q4 2009
16,2010-01-31,13.024179458618164,Q1 2010
17,2010-02-28,13.810739517211914,Q1 2010
18,2010-03-31,15.076297760009766,Q1 2010
19,2010-04-30,15.570634841918945,Q2 2010
20,2010-05-31,14.846550941467285,Q2 2010
21,2010-06-30,13.907270431518555,Q2 2010
22,2010-07-31,15.161086082458496,Q3 2010
23,2010-08-31,14.411681175231934,Q3 2010
24,2010-09-30,16.56130599975586,Q3 2010
25,2010-10-31,16.829957962036133,Q4 2010
26,2010-11-30,17.799165725708008,Q4 2010
27,2010-12-31,17.715106964111328,Q4 2010
28,2011-01-31,17.105388641357422,Q1 2011
29,2011-02-28,18.463775634765625,Q1 2011
30,2011-03-31,15.754576683044434,Q1 2011
31,2011-04-30,17.132328033447266,Q2 2011
32,2011-05-31,17.575620651245117,Q2 2011
33,2011-06-30,18.797443389892578,Q2 2011
34,2011-07-31,18.832962036132812,Q3 2011
35,2011-08-31,18.101791381835938,Q3 2011
36,2011-09-30,17.927772521972656,Q3 2011
37,2011-10-31,20.200458526611328,Q4 2011
38,2011-11-30,20.164819717407227,Q4 2011
39,2011-12-31,20.28055763244629,Q4 2011
40,2012-01-31,21.884151458740234,Q1 2012
41,2012-02-29,22.711193084716797,Q1 2012
42,2012-03-31,22.89700698852539,Q1 2012
43,2012-04-30,23.621246337890625,Q2 2012
44,2012-05-31,22.91806411743164,Q2 2012
45,2012-06-30,18.5963077545166,Q2 2012
46,2012-07-31,19.776315689086914,Q3 2012
47,2012-08-31,20.70136070251465,Q3 2012
48,2012-09-30,20.180421829223633,Q3 2012
49,2012-10-31,19.42984390258789,Q4 2012
50,2012-11-30,20.726865768432617,Q4 2012
51,2012-12-31,22.037857055664062,Q4 2012
52,2013-01-31,23.084217071533203,Q1 2013
53,2013-02-28,23.349571228027344,Q1 2013
54,2013-03-31,25.300369262695312,Q1 2013
55,2013-04-30,27.26831817626953,Q2 2013
56,2013-05-31,26.525056838989258,Q2 2013
57,2013-06-30,27.394031524658203,Q2 2013
58,2013-07-31,27.06709861755371,Q3 2013
59,2013-08-31,27.11392593383789,Q3 2013
60,2013-09-30,31.352365493774414,Q3 2013
61,2013-10-31,32.69899368286133,Q4 2013
62,2013-11-30,34.15785217285156,Q4 2013
63,2013-12-31,34.04839324951172,Q4 2013
64,2014-01-31,31.541507720947266,Q1 2014
65,2014-02-28,34.00525665283203,Q1 2014
66,2014-03-31,32.07699203491211,Q1 2014
67,2014-04-30,31.68177604675293,Q2 2014
68,2014-05-31,33.50701904296875,Q2 2014
69,2014-06-30,33.78584671020508,Q2 2014
70,2014-07-31,33.60286331176758,Q3 2014
71,2014-08-31,34.32484817504883,Q3 2014
72,2014-09-30,38.978702545166016,Q3 2014
73,2014-10-31,40.62611770629883,Q4 2014
74,2014-11-30,43.38783645629883,Q4 2014
75,2014-12-31,42.13652420043945,Q4 2014
76,2015-01-31,40.42739486694336,Q1 2015
77,2015-02-28,42.685062408447266,Q1 2015
78,2015-03-31,44.09587860107422,Q1 2015
79,2015-04-30,43.44102096557617,Q2 2015
80,2015-05-31,44.80681610107422,Q2 2015
81,2015-06-30,47.60531997680664,Q2 2015
82,2015-07-31,50.778419494628906,Q3 2015
83,2015-08-31,49.249149322509766,Q3 2015
84,2015-09-30,54.33132553100586,Q3 2015
85,2015-10-31,57.8924446105957,Q4 2015
86,2015-11-30,58.444732666015625,Q4 2015
87,2015-12-31,55.36210632324219,Q4 2015
88,2016-01-31,54.92806625366211,Q1 2016
89,2016-02-29,54.5560417175293,Q1 2016
90,2016-03-31,54.590126037597656,Q1 2016
91,2016-04-30,52.34328079223633,Q2 2016
92,2016-05-31,49.03963851928711,Q2 2016
93,2016-06-30,49.16508102416992,Q2 2016
94,2016-07-31,49.432281494140625,Q3 2016
95,2016-08-31,51.33833312988281,Q3 2016
96,2016-09-30,47.02440643310547,Q3 2016
97,2016-10-31,44.81831741333008,Q4 2016
98,2016-11-30,44.7200813293457,Q4 2016
99,2016-12-31,45.562679290771484,Q4 2016
100,2017-01-31,47.418155670166016,Q1 2017
101,2017-02-28,51.23670959472656,Q1 2017
102,2017-03-31,50.11054992675781,Q1 2017
103,2017-04-30,49.82281494140625,Q2 2017
104,2017-05-31,47.64681625366211,Q2 2017
105,2017-06-30,53.231651306152344,Q2 2017
106,2017-07-31,53.27674865722656,Q3 2017
107,2017-08-31,47.810577392578125,Q3 2017
108,2017-09-30,46.94144821166992,Q3 2017
109,2017-10-31,49.78418731689453,Q4 2017
110,2017-11-30,54.700130462646484,Q4 2017
111,2017-12-31,56.81657791137695,Q4 2017
112,2018-01-31,61.966835021972656,Q1 2018
113,2018-02-28,60.88591766357422,Q1 2018
114,2018-03-31,60.532554626464844,Q1 2018
115,2018-04-30,62.30916976928711,Q2 2018
116,2018-05-31,65.41597747802734,Q2 2018
117,2018-06-30,72.7981185913086,Q2 2018
118,2018-07-31,70.26734924316406,Q3 2018
119,2018-08-31,75.28543090820312,Q3 2018
120,2018-09-30,77.59346771240234,Q3 2018
121,2018-10-31,68.72773742675781,Q4 2018
122,2018-11-30,69.0052261352539,Q4 2018
123,2018-12-31,68.1050033569336,Q4 2018
124,2019-01-31,75.2149429321289,Q1 2019
125,2019-02-28,78.75157928466797,Q1 2019
126,2019-03-31,77.5543212890625,Q1 2019
127,2019-04-30,80.88819122314453,Q2 2019
128,2019-05-31,71.24082946777344,Q2 2019
129,2019-06-30,77.53004455566406,Q2 2019
130,2019-07-31,79.45098114013672,Q3 2019
131,2019-08-31,78.23958587646484,Q3 2019
132,2019-09-30,86.9616928100586,Q3 2019
133,2019-10-31,82.91545104980469,Q4 2019
134,2019-11-30,86.78941345214844,Q4 2019
135,2019-12-31,94.04895782470703,Q4 2019
136,2020-01-31,89.39801788330078,Q1 2020
137,2020-02-29,83.20417785644531,Q1 2020
138,2020-03-31,77.02299499511719,Q1 2020
139,2020-04-30,81.15620422363281,Q2 2020
140,2020-05-31,91.99744415283203,Q2 2020
141,2020-06-30,91.5028305053711,Q2 2020
142,2020-07-31,91.09220123291016,Q3 2020
143,2020-08-31,104.64997100830078,Q3 2020
144,2020-09-30,117.41673278808594,Q3 2020
145,2020-10-31,112.31005096435547,Q4 2020
146,2020-11-30,125.98402404785156,Q4 2020
147,2020-12-31,132.58216857910156,Q4 2020
148,2021-01-31,125.19721221923828,Q1 2021
149,2021-02-28,126.56925201416016,Q1 2021
150,2021-03-31,124.79441833496094,Q1 2021
151,2021-04-30,124.54084777832031,Q2 2021
152,2021-05-31,128.40554809570312,Q2 2021
153,2021-06-30,145.3712921142578,Q2 2021
154,2021-07-31,157.62278747558594,Q3 2021
155,2021-08-31,155.27215576171875,Q3 2021
156,2021-09-30,136.8833770751953,Q3 2021
157,2021-10-31,157.67552185058594,Q4 2021
158,2021-11-30,159.51348876953125,Q4 2021
159,2021-12-31,157.37351989746094,Q4 2021
160,2022-01-31,139.8109893798828,Q1 2022
161,2022-02-28,128.93353271484375,Q1 2022
162,2022-03-31,127.34446716308594,Q1 2022
163,2022-04-30,118.01319122314453,Q2 2022
164,2022-05-31,112.47688293457031,Q2 2022
165,2022-06-30,96.95933532714844,Q2 2022
166,2022-07-31,109.0270767211914,Q3 2022
167,2022-08-31,100.99140167236328,Q3 2022
168,2022-09-30,79.0842514038086,Q3 2022
169,2022-10-31,88.18008422851562,Q4 2022
170,2022-11-30,104.36417388916016,Q4 2022
171,2022-12-31,111.67049407958984,Q4 2022
172,2023-01-31,121.5195541381836,Q1 2023
173,2023-02-28,113.36924743652344,Q1 2023
174,2023-03-31,117.3772964477539,Q1 2023
175,2023-04-30,121.2822265625,Q2 2023
176,2023-05-31,100.74311065673828,Q2 2023
177,2023-06-30,105.98153686523438,Q2 2023
