,Date,Price,calendar_quarter
0,2010-06-30,1.5886670351028442,Q2 2010
1,2010-07-31,1.329332947731018,Q3 2010
2,2010-08-31,1.2986669540405273,Q3 2010
3,2010-09-30,1.3606669902801514,Q3 2010
4,2010-10-31,1.4559999704360962,Q4 2010
5,2010-11-30,2.355333089828491,Q4 2010
6,2010-12-31,1.775333046913147,Q4 2010
7,2011-01-31,1.6066670417785645,Q1 2011
8,2011-02-28,1.5926669836044312,Q1 2011
9,2011-03-31,1.850000023841858,Q1 2011
10,2011-04-30,1.840000033378601,Q2 2011
11,2011-05-31,2.0093328952789307,Q2 2011
12,2011-06-30,1.9420000314712524,Q2 2011
13,2011-07-31,1.878000020980835,Q3 2011
14,2011-08-31,1.6493330001831055,Q3 2011
15,2011-09-30,1.6260000467300415,Q3 2011
16,2011-10-31,1.9579999446868896,Q4 2011
17,2011-11-30,2.1826670169830322,Q4 2011
18,2011-12-31,1.9040000438690186,Q4 2011
19,2012-01-31,1.937999963760376,Q1 2012
20,2012-02-29,2.2273330688476562,Q1 2012
21,2012-03-31,2.4826669692993164,Q1 2012
22,2012-04-30,2.208667039871216,Q2 2012
23,2012-05-31,1.9666670560836792,Q2 2012
24,2012-06-30,2.0859999656677246,Q2 2012
25,2012-07-31,1.8279999494552612,Q3 2012
26,2012-08-31,1.901332974433899,Q3 2012
27,2012-09-30,1.9520000219345093,Q3 2012
28,2012-10-31,1.8753329515457153,Q4 2012
29,2012-11-30,2.254667043685913,Q4 2012
30,2012-12-31,2.257999897003174,Q4 2012
31,2013-01-31,2.500667095184326,Q1 2013
32,2013-02-28,2.322000026702881,Q1 2013
33,2013-03-31,2.5260000228881836,Q1 2013
34,2013-04-30,3.5993330478668213,Q2 2013
35,2013-05-31,6.517333030700684,Q2 2013
36,2013-06-30,7.157332897186279,Q2 2013
37,2013-07-31,8.95199966430664,Q3 2013
38,2013-08-31,11.266667366027832,Q3 2013
39,2013-09-30,12.891332626342773,Q3 2013
40,2013-10-31,10.662667274475098,Q4 2013
41,2013-11-30,8.485333442687988,Q4 2013
42,2013-12-31,10.028667449951172,Q4 2013
43,2014-01-31,12.093999862670898,Q1 2014
44,2014-02-28,16.320667266845703,Q1 2014
45,2014-03-31,13.896666526794434,Q1 2014
46,2014-04-30,13.859333038330078,Q2 2014
47,2014-05-31,13.851332664489746,Q2 2014
48,2014-06-30,16.003999710083008,Q2 2014
49,2014-07-31,14.886667251586914,Q3 2014
50,2014-08-31,17.979999542236328,Q3 2014
51,2014-09-30,16.178667068481445,Q3 2014
52,2014-10-31,16.113332748413086,Q4 2014
53,2014-11-30,16.301332473754883,Q4 2014
54,2014-12-31,14.827333450317383,Q4 2014
55,2015-01-31,13.573332786560059,Q1 2015
56,2015-02-28,13.555999755859375,Q1 2015
57,2015-03-31,12.584667205810547,Q1 2015
58,2015-04-30,15.069999694824219,Q2 2015
59,2015-05-31,16.719999313354492,Q2 2015
60,2015-06-30,17.884000778198242,Q2 2015
61,2015-07-31,17.74333381652832,Q3 2015
62,2015-08-31,16.604000091552734,Q3 2015
63,2015-09-30,16.559999465942383,Q3 2015
64,2015-10-31,13.795332908630371,Q4 2015
65,2015-11-30,15.350666999816895,Q4 2015
66,2015-12-31,16.000667572021484,Q4 2015
67,2016-01-31,12.74666690826416,Q1 2016
68,2016-02-29,12.795332908630371,Q1 2016
69,2016-03-31,15.317999839782715,Q1 2016
70,2016-04-30,16.05066680908203,Q2 2016
71,2016-05-31,14.881999969482422,Q2 2016
72,2016-06-30,14.152000427246094,Q2 2016
73,2016-07-31,15.652667045593262,Q3 2016
74,2016-08-31,14.133999824523926,Q3 2016
75,2016-09-30,13.60200023651123,Q3 2016
76,2016-10-31,13.182000160217285,Q4 2016
77,2016-11-30,12.626667022705078,Q4 2016
78,2016-12-31,14.246000289916992,Q4 2016
79,2017-01-31,16.795333862304688,Q1 2017
80,2017-02-28,16.666000366210938,Q1 2017
81,2017-03-31,18.553333282470703,Q1 2017
82,2017-04-30,20.937999725341797,Q2 2017
83,2017-05-31,22.733999252319336,Q2 2017
84,2017-06-30,24.107332229614258,Q2 2017
85,2017-07-31,21.564666748046875,Q3 2017
86,2017-08-31,23.726667404174805,Q3 2017
87,2017-09-30,22.739999771118164,Q3 2017
88,2017-10-31,22.101999282836914,Q4 2017
89,2017-11-30,20.59000015258789,Q4 2017
90,2017-12-31,20.75666618347168,Q4 2017
91,2018-01-31,23.62066650390625,Q1 2018
92,2018-02-28,22.87066650390625,Q1 2018
93,2018-03-31,17.742000579833984,Q1 2018
94,2018-04-30,19.593332290649414,Q2 2018
95,2018-05-31,18.98200035095215,Q2 2018
96,2018-06-30,22.863332748413086,Q2 2018
97,2018-07-31,19.875999450683594,Q3 2018
98,2018-08-31,20.110666275024414,Q3 2018
99,2018-09-30,17.65133285522461,Q3 2018
100,2018-10-31,22.488000869750977,Q4 2018
101,2018-11-30,23.365333557128906,Q4 2018
102,2018-12-31,22.18666648864746,Q4 2018
103,2019-01-31,20.468000411987305,Q1 2019
104,2019-02-28,21.325332641601562,Q1 2019
105,2019-03-31,18.657333374023438,Q1 2019
106,2019-04-30,15.912667274475098,Q2 2019
107,2019-05-31,12.343999862670898,Q2 2019
108,2019-06-30,14.897333145141602,Q2 2019
109,2019-07-31,16.107332229614258,Q3 2019
110,2019-08-31,15.040666580200195,Q3 2019
111,2019-09-30,16.058000564575195,Q3 2019
112,2019-10-31,20.994667053222656,Q4 2019
113,2019-11-30,21.996000289916992,Q4 2019
114,2019-12-31,27.8886661529541,Q4 2019
115,2020-01-31,43.371334075927734,Q1 2020
116,2020-02-29,44.53266525268555,Q1 2020
