filing_date,period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity,xbrl_source
2009-07-30,,10-K,,,,,,
2009-10-23,2009-09-30,10-Q,12920000000.0,3574000000.0,81612000000.0,,41212000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312509212454/msft-20090930.xml
2010-01-28,2009-12-31,10-Q,19022000000.0,6662000000.0,82096000000.0,,44283000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312510015598/msft-20091231.xml
2010-04-22,2010-03-31,10-Q,14503000000.0,4006000000.0,84910000000.0,,45710000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312510090116/msft-20100331.xml
2010-07-30,2010-06-30,10-K,62484000000.0,18760000000.0,86113000000.0,,46175000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/msft-20100630.xml
2010-10-28,2010-09-30,10-Q,16195000000.0,5410000000.0,91540000000.0,44598000000.0,46942000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312510239825/msft-20100930.xml
2011-01-27,2010-12-31,10-Q,19953000000.0,6634000000.0,92306000000.0,43825000000.0,48481000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312511015947/msft-20101231.xml
2011-04-28,2011-03-31,10-Q,16428000000.0,5232000000.0,99727000000.0,46275000000.0,53452000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312511115186/msft-20110331.xml
2011-07-28,2011-06-30,10-K,69943000000.0,23150000000.0,108704000000.0,51621000000.0,57083000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/msft-20110630.xml
2011-10-20,2011-09-30,10-Q,17372000000.0,5738000000.0,107415000000.0,48024000000.0,59391000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312511276022/msft-20110930.xml
2012-01-19,,10-Q,,,,,,
2012-01-27,2011-12-31,10-Q,20885000000.0,6624000000.0,112243000000.0,48122000000.0,64121000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312512026864/msft-20111231.xml
2012-04-19,2012-03-31,10-Q,17407000000.0,5108000000.0,118010000000.0,49351000000.0,68659000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312512170665/msft-20120331.xml
2012-07-26,2012-06-30,10-K,73723000000.0,16978000000.0,121271000000.0,54908000000.0,66363000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/msft-20120630.xml
2012-10-18,2012-09-30,10-Q,16008000000.0,4466000000.0,121876000000.0,53040000000.0,68836000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312512427209/msft-20120930.xml
2013-01-24,2012-12-31,10-Q,21456000000.0,6377000000.0,128683000000.0,56107000000.0,72576000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312513022207/msft-20121231.xml
2013-04-18,2013-03-31,10-Q,20489000000.0,6055000000.0,134105000000.0,57417000000.0,76688000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312513160748/msft-20130331.xml
2013-07-30,2013-06-30,10-K,77849000000.0,21863000000.0,142431000000.0,63487000000.0,78944000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/msft-20130630.xml
2013-10-24,2013-09-30,10-Q,18529000000.0,5244000000.0,142348000000.0,60707000000.0,81641000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312513409855/msft-20130930.xml
2014-01-23,2013-12-31,10-Q,24519000000.0,6558000000.0,153543000000.0,68443000000.0,85100000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312514018634/msft-20131231.xml
2014-04-24,2014-03-31,10-Q,20403000000.0,5660000000.0,156119000000.0,68695000000.0,87424000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312514157088/msft-20140331.xml
2014-07-31,2014-06-30,10-K,86833000000.0,22074000000.0,172384000000.0,82600000000.0,89784000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/msft-20140630.xml
2014-10-23,2014-09-30,10-Q,23201000000.0,4540000000.0,169656000000.0,79486000000.0,90170000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312514380252/msft-20140930.xml
2015-01-26,2014-12-31,10-Q,26470000000.0,5863000000.0,174848000000.0,82969000000.0,91879000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312515020351/msft-20141231.xml
2015-04-23,2015-03-31,10-Q,21729000000.0,4985000000.0,176683000000.0,86551000000.0,90132000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312515144151/msft-20150331.xml
2015-07-31,2015-06-30,10-K,93580000000.0,12193000000.0,176223000000.0,96140000000.0,80083000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/msft-20150630.xml
2015-10-22,2015-09-30,10-Q,20379000000.0,4620000000.0,172896000000.0,95451000000.0,77445000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312515350718/msft-20150930.xml
2016-01-28,2015-12-31,10-Q,23796000000.0,4998000000.0,180098000000.0,103318000000.0,76780000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312516441821/msft-20151231.xml
2016-04-21,2016-03-31,10-Q,20531000000.0,3756000000.0,181869000000.0,107063000000.0,74806000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312516550254/msft-20160331.xml
2016-07-28,2016-06-30,10-K,85320000000.0,16798000000.0,193694000000.0,121697000000.0,71997000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/msft-20160630.xml
2016-10-20,2016-09-30,10-Q,20453000000.0,4690000000.0,212524000000.0,142152000000.0,70372000000.0,https://www.sec.gov/Archives/edgar/data/789019/000119312516742796/msft-20160930.xml
2017-01-26,2016-12-31,10-Q,24090000000.0,5200000000.0,224610000000.0,155801000000.0,68809000000.0,https://www.sec.gov/Archives/edgar/data/789019/000156459017000654/msft-20161231.xml
2017-04-27,2017-03-31,10-Q,22090000000.0,4801000000.0,225017000000.0,155288000000.0,69729000000.0,https://www.sec.gov/Archives/edgar/data/789019/000156459017007547/msft-20170331.xml
2017-08-02,2017-06-30,10-K,89950000000.0,21204000000.0,241086000000.0,168692000000.0,72394000000.0,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/msft-20170630.xml
2017-10-26,2017-09-30,10-Q,24538000000.0,6576000000.0,249097000000.0,159450000000.0,89647000000.0,https://www.sec.gov/Archives/edgar/data/789019/000156459017020171/msft-20170930.xml
