period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity,quarter,synthetic,note
,,,,,,,Q1 2011,,
2011-06-30,10-Q,58171000.0,-58903000.0,646155000.0,297703000.0,348452000.0,Q2 2011,False,
2011-09-30,10-Q,57666000.0,-65078000.0,700250000.0,406132000.0,294118000.0,Q3 2011,False,
2011-12-31,10-Q,88405000.0,-130430000.0,713448000.0,489403000.0,224045000.0,Q4 2011,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2012-03-31,10-Q,30167000.0,-89873000.0,761100000.0,607226000.0,153874000.0,Q1 2012,False,
2012-06-30,10-Q,26653000.0,-105603000.0,776869000.0,714654000.0,62215000.0,Q2 2012,False,
2012-09-30,10-Q,50104000.0,-110804000.0,809177000.0,837052000.0,-27875000.0,Q3 2012,False,
2012-12-31,10-Q,306332000.0,-89933000.0,1114190000.0,989490000.0,124700000.0,Q4 2012,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2013-03-31,10-Q,561792000.0,11248000.0,1143778000.0,975195000.0,168583000.0,Q1 2013,False,
2013-06-30,10-Q,405139000.0,-30502000.0,1887844000.0,1258418000.0,629426000.0,Q2 2013,False,
2013-09-30,10-Q,431346000.0,-38496000.0,2166209000.0,1524546000.0,564165000.0,Q3 2013,False,
2013-12-31,10-Q,615219000.0,-16264000.0,2416930000.0,1749810000.0,667120000.0,Q4 2013,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2014-03-31,10-Q,620542000.0,-49800000.0,4500410000.0,3518412000.0,912056000.0,Q1 2014,False,
2014-06-30,10-Q,769349000.0,-61900000.0,5054463000.0,4036047000.0,952333000.0,Q2 2014,False,
2014-09-30,10-Q,851804000.0,-74708000.0,5437533000.0,4417278000.0,958094000.0,Q3 2014,False,
2014-12-31,10-Q,956661000.0,-107632000.0,5849251000.0,4879345000.0,911710000.0,Q4 2014,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2015-03-31,10-Q,939880000.0,-154181000.0,6120030000.0,5239756000.0,825997000.0,Q1 2015,False,
2015-06-30,10-Q,954976000.0,-184227000.0,6468185000.0,5701978000.0,715934000.0,Q2 2015,False,
2015-09-30,10-Q,936789000.0,-229858000.0,7547497000.0,6186660000.0,1314656000.0,Q3 2015,False,
2015-12-31,10-Q,1214380000.0,-320397000.0,8092460000.0,6961471000.0,1088944000.0,Q4 2015,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2016-03-31,10-Q,1147048000.0,-282267000.0,9191702000.0,8178711000.0,970365000.0,Q1 2016,False,
2016-06-30,10-Q,1270017000.0,-293188000.0,11868952000.0,9311512000.0,2520294000.0,Q2 2016,False,
2016-09-30,10-Q,2298436000.0,21878000.0,12592397000.0,9900639000.0,2680488000.0,Q3 2016,False,
2016-12-31,10-Q,2284631000.0,-121337000.0,22664076000.0,16750167000.0,367039000.0,Q4 2016,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2017-03-31,10-Q,2482326000.0,162129000.0,25053726000.0,18885353000.0,4987719000.0,Q1 2017,False,
2017-06-30,10-Q,2502777000.0,165212000.0,26043705000.0,19459902000.0,5105752000.0,Q2 2017,False,
2017-09-30,10-Q,2667170000.0,,28107074000.0,21929057000.0,4711480000.0,Q3 2017,False,
2017-12-31,10-Q,-115397000.0,-327319000.0,28655372000.0,23022980000.0,4237242000.0,Q4 2017,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2018-03-31,10-Q,2998729000.0,36343000.0,27271429000.0,21551021000.0,4450695000.0,Q1 2018,False,
2018-06-30,10-Q,3627823000.0,53915000.0,27910000000.0,22642887000.0,3906421000.0,Q2 2018,False,
2018-09-30,10-Q,6425096000.0,254673000.0,29262713000.0,23409144000.0,4508838000.0,Q3 2018,False,
2018-12-31,10-Q,-5514772000.0,-174406000.0,29739614000.0,23426010000.0,4923243000.0,Q4 2018,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2019-03-31,10-Q,4216803000.0,34490000.0,28912524000.0,22874618000.0,4605596000.0,Q1 2019,False,
2019-06-30,10-Q,5981468000.0,19072000.0,31872597000.0,24722136000.0,5715393000.0,Q2 2019,False,
2019-09-30,10-Q,5901000000.0,150000000.0,32795000000.0,25313000000.0,6040000000.0,Q3 2019,False,
2019-12-31,10-Q,-16076224000.0,-203385000.0,34309000.0,26199000.0,6618000.0,Q4 2019,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2020-03-31,10-Q,5692000.0,68000.0,37250000.0,26518000.0,9173000.0,Q1 2020,False,
2020-06-30,10-Q,5666000.0,129000.0,38135000.0,26754000.0,9855000.0,Q2 2020,False,
2020-09-30,10-Q,8192000.0,369000.0,45691000.0,28143000.0,16031000.0,Q3 2020,False,
2020-12-31,10-Q,9992000.0,155000.0,52148000.0,28418000.0,22225000.0,Q4 2020,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2021-03-31,10-Q,9895000.0,464000.0,52972000.0,28507000.0,23017000.0,Q1 2021,False,
2021-06-30,10-Q,11157000.0,1178000.0,55146000.0,28896000.0,24804000.0,Q2 2021,False,
2021-09-30,10-Q,12951000.0,1659000.0,57834000.0,29340000.0,27053000.0,Q3 2021,False,
2021-12-31,10-Q,17031000.0,-3176000.0,62131000.0,30548000.0,30189000.0,Q4 2021,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2022-03-31,10-Q,18140000.0,3280000.0,66038000.0,30632000.0,34085000.0,Q1 2022,False,
2022-06-30,10-Q,16068000.0,2269000.0,68513000.0,30855000.0,36376000.0,Q2 2022,False,
2022-09-30,10-Q,20337000.0,3331000.0,74426000.0,33302000.0,39851000.0,Q3 2022,False,
2022-12-31,10-Q,21791000000.0,1878000000.0,93941000000.0,39446000000.0,53466000000.0,Q4 2022,False,
