,Date,Price,calendar_quarter
0,2005-08-31,19.0714054107666,Q3 2005
1,2005-09-30,17.922121047973633,Q3 2005
2,2005-10-31,17.901220321655273,Q4 2005
3,2005-11-30,19.336896896362305,Q4 2005
4,2005-12-31,18.26805877685547,Q4 2005
5,2006-01-31,19.665239334106445,Q1 2006
6,2006-02-28,18.834646224975586,Q1 2006
7,2006-03-31,19.072969436645508,Q1 2006
8,2006-04-30,16.928054809570312,Q2 2006
9,2006-05-31,15.938532829284668,Q2 2006
10,2006-06-30,16.39592933654785,Q2 2006
11,2006-07-31,16.930721282958984,Q3 2006
12,2006-08-31,18.151378631591797,Q3 2006
13,2006-09-30,19.316741943359375,Q3 2006
14,2006-10-31,20.277278900146484,Q4 2006
15,2006-11-30,20.8072566986084,Q4 2006
16,2006-12-31,21.161602020263672,Q4 2006
17,2007-01-31,21.87029457092285,Q1 2007
18,2007-02-28,20.03312873840332,Q1 2007
19,2007-03-31,19.819793701171875,Q1 2007
20,2007-04-30,21.2918701171875,Q2 2007
21,2007-05-31,21.895936965942383,Q2 2007
22,2007-06-30,21.025510787963867,Q2 2007
23,2007-07-31,20.68305778503418,Q3 2007
24,2007-08-31,20.569408416748047,Q3 2007
25,2007-09-30,21.0920467376709,Q3 2007
26,2007-10-31,26.354326248168945,Q4 2007
27,2007-11-30,24.135644912719727,Q4 2007
28,2007-12-31,25.572294235229492,Q4 2007
29,2008-01-31,23.417327880859375,Q1 2008
30,2008-02-29,19.61429786682129,Q1 2008
31,2008-03-31,20.4652099609375,Q1 2008
32,2008-04-30,20.566162109375,Q2 2008
33,2008-05-31,20.497127532958984,Q2 2008
34,2008-06-30,19.910869598388672,Q2 2008
35,2008-07-31,18.615325927734375,Q3 2008
36,2008-08-31,19.830425262451172,Q3 2008
37,2008-09-30,19.394432067871094,Q3 2008
38,2008-10-31,16.226207733154297,Q4 2008
39,2008-11-30,14.792498588562012,Q4 2008
40,2008-12-31,14.22187328338623,Q4 2008
41,2009-01-31,12.509977340698242,Q1 2009
42,2009-02-28,11.895989418029785,Q1 2009
43,2009-03-31,13.531228065490723,Q1 2009
44,2009-04-30,14.923391342163086,Q2 2009
45,2009-05-31,15.485166549682617,Q2 2009
46,2009-06-30,17.620025634765625,Q2 2009
47,2009-07-31,17.434715270996094,Q3 2009
48,2009-08-31,18.375099182128906,Q3 2009
49,2009-09-30,19.172718048095703,Q3 2009
50,2009-10-31,20.671049118041992,Q4 2009
51,2009-11-30,22.02029037475586,Q4 2009
52,2009-12-31,22.821439743041992,Q4 2009
53,2010-01-31,21.099346160888672,Q1 2010
54,2010-02-28,21.566608428955078,Q1 2010
55,2010-03-31,22.033004760742188,Q1 2010
56,2010-04-30,22.97329330444336,Q2 2010
57,2010-05-31,19.49526596069336,Q2 2010
58,2010-06-30,17.38705825805664,Q2 2010
59,2010-07-31,19.50282096862793,Q3 2010
60,2010-08-31,17.829248428344727,Q3 2010
61,2010-09-30,18.60410499572754,Q3 2010
62,2010-10-31,20.26017189025879,Q4 2010
63,2010-11-30,19.306943893432617,Q4 2010
64,2010-12-31,21.33242416381836,Q4 2010
65,2011-01-31,21.194841384887695,Q1 2011
66,2011-02-28,20.435943603515625,Q1 2011
67,2011-03-31,19.521011352539062,Q1 2011
68,2011-04-30,19.92850685119629,Q2 2011
69,2011-05-31,19.354887008666992,Q2 2011
70,2011-06-30,20.12104606628418,Q2 2011
71,2011-07-31,21.204479217529297,Q3 2011
72,2011-08-31,20.715303421020508,Q3 2011
73,2011-09-30,19.383609771728516,Q3 2011
74,2011-10-31,20.738664627075195,Q4 2011
75,2011-11-30,20.07095718383789,Q4 2011
76,2011-12-31,20.369123458862305,Q4 2011
77,2012-01-31,23.170270919799805,Q1 2012
78,2012-02-29,25.06826400756836,Q1 2012
79,2012-03-31,25.478961944580078,Q1 2012
80,2012-04-30,25.289409637451172,Q2 2012
81,2012-05-31,23.205551147460938,Q2 2012
82,2012-06-30,24.318527221679688,Q2 2012
83,2012-07-31,23.428144454956055,Q3 2012
84,2012-08-31,24.663686752319336,Q3 2012
85,2012-09-30,23.815418243408203,Q3 2012
86,2012-10-31,22.8391170501709,Q4 2012
87,2012-11-30,21.477680206298828,Q4 2012
88,2012-12-31,21.550296783447266,Q4 2012
89,2013-01-31,22.14735221862793,Q1 2013
90,2013-02-28,22.615446090698242,Q1 2013
91,2013-03-31,23.274381637573242,Q1 2013
92,2013-04-30,26.927021026611328,Q2 2013
93,2013-05-31,28.590415954589844,Q2 2013
94,2013-06-30,28.295501708984375,Q2 2013
95,2013-07-31,26.08363151550293,Q3 2013
96,2013-08-31,27.554407119750977,Q3 2013
97,2013-09-30,27.45541000366211,Q3 2013
98,2013-10-31,29.21262550354004,Q4 2013
99,2013-11-30,31.695140838623047,Q4 2013
100,2013-12-31,31.096656799316406,Q4 2013
101,2014-01-31,31.45408058166504,Q1 2014
102,2014-02-28,32.083553314208984,Q1 2014
103,2014-03-31,34.327972412109375,Q1 2014
104,2014-04-30,33.83388137817383,Q2 2014
105,2014-05-31,34.5279655456543,Q2 2014
106,2014-06-30,35.168949127197266,Q2 2014
107,2014-07-31,36.40028381347656,Q3 2014
108,2014-08-31,38.554073333740234,Q3 2014
109,2014-09-30,39.343299865722656,Q3 2014
110,2014-10-31,39.84401321411133,Q4 2014
111,2014-11-30,40.82975387573242,Q4 2014
